CASENUM,SURVIVED,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERMVIT,PERNOTMVIT,NUM_INJ,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,HARM_EV,ALCOHOL,MAX_SEV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,INT_HWY,CF1,CF2,CF3,WKDY_IM,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,PSUSTRAT,WEIGHT
2.02E+11,1.00E+00,3,48,85,48,1,8,1,1,0,0,2,0,2,1,2018,2,9,30,25,2,2,0,0,1,1,0,4,1,2,0,2,0,1,0,0,0,2,9,30,25,0,0,1,1,2,2,2,2,12,159.3496284
2.02E+11,1.00E+00,3,48,91,48,1,4,2,2,0,0,2,0,1,1,2018,3,7,15,12,1,4,2,0,1,1,0,1,1,2,0,2,0,0,0,0,0,3,7,15,12,2,0,1,1,2,4,1,1,12,15.70039281
2.02E+11,1.00E+00,3,48,91,48,1,7,1,1,0,0,1,0,0,1,2018,4,2,0,52,2,0,0,0,1,1,0,3,3,2,0,2,0,0,0,0,0,4,2,0,52,0,0,1,3,2,0,0,2,12,132.1850086
2.02E+11,0.00E+00,3,48,91,48,1,10,1,1,0,0,1,0,0,1,2018,4,12,25,30,2,0,0,0,1,1,0,4,1,10,0,10,0,0,0,0,0,4,12,25,30,0,0,1,1,10,0,0,2,12,238.9782539
2.02E+11,0.00E+00,3,48,91,48,1,5,1,1,0,0,1,0,1,1,2018,4,21,50,11,2,3,0,0,1,1,0,1,3,1,0,1,0,0,0,0,0,4,21,50,11,0,0,1,3,1,3,1,2,12,27.53492416
2.02E+11,1.00E+00,3,48,91,48,1,4,2,2,0,0,2,0,1,1,2018,5,16,0,12,2,3,6,0,2,2,0,1,1,1,0,1,0,0,0,0,0,5,16,0,12,6,0,2,1,1,3,1,2,12,15.00905552
2.02E+11,1.00E+00,3,48,85,48,1,5,1,1,0,0,1,0,1,1,2018,5,23,19,24,1,3,0,0,1,1,0,4,3,2,0,2,0,0,0,0,0,5,23,19,24,0,0,1,3,2,3,1,1,12,27.53492416
2.02E+11,1.00E+00,3,48,91,48,1,9,2,2,0,0,5,0,0,1,2018,7,11,10,12,2,0,6,0,2,2,0,1,1,10,0,10,0,0,0,0,0,7,11,10,12,6,0,2,1,10,0,0,2,12,170.6546305
2.02E+11,1.00E+00,3,48,85,48,1,10,2,2,0,0,3,0,0,1,2018,7,15,45,12,2,0,1,0,8,1,0,1,1,1,0,1,0,0,0,0,0,7,15,45,12,1,0,8,1,1,0,0,2,12,238.9782539
2.02E+11,1.00E+00,3,48,85,48,1,5,1,1,0,0,1,0,1,1,2018,7,23,30,32,2,4,0,0,1,1,0,4,3,1,0,1,0,0,0,0,0,7,23,30,32,0,0,1,3,1,4,1,2,12,28.80321981
